id;create_time;create_user_id;blog_id;content;likes;parent_id
1;2022-03-17;8139;51304;SQL orange;57111;10248
2;2022-03-17;2726;93796;Account;3610;95915
3;2022-03-17;70359;24875;安徽省 Sausages;99492;26907
4;2022-03-17;29796;17969;侬 incentivize sensor;8191;98448
5;2022-03-17;28883;64591;Rubber De-engineered Generic;59447;13657
6;2022-03-18;76857;36893;Senior Assurance;2016;74521
7;2022-03-17;94983;24956;visionary Soap Loan;27727;70063
8;2022-03-17;3324;16790;侬;20846;99063
9;2022-03-17;40666;60493;transparent;36356;3226
10;2022-03-17;39326;67399;Optimized Dong;90653;18463
