id;name;alias;description;parent_id
1;Granite salmon;quantifying;firewall;20057
2;Accounts;Bacon;payment;6918
3;complexity;Chair;salmon Director;16674
4;USB withdrawal port;台湾省 Fantastic Home;methodology;55752
5;invoice Assistant Home;Forward Unbranded;application 河北省;42676
6;ivory Engineer Program;bricks-and-clicks Polarised synthesize;Rustic discrete aggregate;46372
7;expedite Mozambique Sudan;Communications Beauty;open transmit plum;82709
8;Handcrafted;transmitter applications Kids;Chips;58666
9;Borders;Fish Loan;Granite Liaison Berkshire;49403
10;France Plastic;旁 Cotton;XML;54726
