id;role_name;remark;create_time;update_time;create_user_id;update_user_id
1;hierarchy;withdrawal redundant;2021-12-30;2021-12-30;5554;32112
2;microchip Creative;payment;2021-12-30;2021-12-31;30080;48111
3;web-readiness Account local;payment;2021-12-30;2021-12-30;74951;34720
4;programming;Specialist;2021-12-30;2021-12-30;52446;96668
5;Avon Refined;Developer;2021-12-30;2021-12-30;37049;9614
6;architectures value-added Peso;virtual payment Books;2021-12-30;2021-12-30;26318;23851
7;Configurable;Agent Developer 宁夏;2021-12-30;2021-12-31;64447;57683
8;blockchains Pizza;Public-key Buckinghamshire Cambridgeshire;2021-12-30;2021-12-30;83655;67925
9;Gorgeous;Bedfordshire;2021-12-31;2021-12-30;77989;2093
10;吉林省;街;2021-12-30;2021-12-30;74974;59015
